5941774d,0.027911
4023181e,0.486976
565b28ac,0.000857
0bd4658e,0.907914
99a7b417,0.579617
e5798365,0.324466
078c699f,0.275725
b2cd6017,0.257497
89b3960f,0.606761
104d981d,0.995015
05e410e9,0.212515
44556da6,0.797867
207e5145,0.368103
390ddfc0,0.000000
4a311bb0,0.966129
2e82728f,0.030841
4245d2cc,0.063094
d43a187c,0.304419
52b60236,0.000045
cc22996f,0.202405
bf08f16a,0.000067
47dea2c3,0.633915
22ac0bab,0.860072
49c670ad,0.000000
1040e727,0.000006
f939c817,0.001964
f39933c4,0.130217
30474ea4,0.992584
73978670,0.338175
527ad437,0.998811
78f83e41,0.212536
12921cf8,0.949527
b960192b,0.021778
9dfaf61b,0.001844
cec954d2,0.048737
00bb437f,0.148946
956adc4d,0.988194
06458d98,0.341487
37ba4455,0.534298
2feeeaf3,0.998815
06c83a48,0.034186
dfe4fd55,0.000000
0b7fb9da,0.016501
52d1ae5f,0.000001
0ef51267,0.129990
0d9822ce,0.812294
bcad7099,0.000000
f8a119f5,0.352163
a26a7454,0.983792
93b7cc9d,0.812181
dcd0ddc6,0.145426
16655d5c,0.602041
2a6150ae,0.024153
601fa9bc,0.347230
3644a31b,0.184104
396254ec,0.275273
b01bf536,0.708620
ff13313c,0.810334
61faa1ad,0.518994
18c308c7,0.287727
50b69cc6,0.000419
76bd6e6a,0.107164
74c587bb,0.437761
11b26a63,0.333484
bf2bc384,0.365509
075634d5,0.000001
7b1e388b,0.103577
8eb02fc2,0.217595
5b09ed4a,0.010278
6725eb3e,0.030083
371b935e,0.993353
7a1cbaab,0.162722
c5c72595,0.999555
c5ea95c0,0.730892
a5b61d35,0.272436
2c252c46,0.726146
7d8e52d9,0.198283
13fe65d5,0.304807
a3d2abc6,0.332455
9248daa9,0.783492
17b3a8fd,0.696686
605470fc,0.217946
38717ccd,0.449752
1144cbd0,0.986011
6d32e09b,0.866489
89b138f7,0.002768
a83f69a4,0.954099
68b7f89d,0.312395
a0998397,0.172983
7e20006f,0.000035
93b12419,0.942862
49a88dfc,0.000213
475c5a35,0.908761
67f42c90,0.446516
45a114e0,0.164845
41a59ee9,0.478124
6c2c6a39,0.476257
9f840a7d,0.051822
2ad5ee96,0.660626
cb8b875e,0.993324
2283d088,0.398824
545f8210,0.010094
2d6ec645,0.807426
7eeed38a,0.916725
be77b9e7,0.083903
16ec40a3,0.219037
b7e74bcf,0.861533
8a36acfd,0.900610
d2e5b493,0.999965
bd88797b,0.003750
78566a26,0.091207
32449528,0.288006
5f6ffdad,0.390655
e04e9775,0.179523
0d4d77ba,0.303648
38bdc33c,0.255270
f88a9ed3,0.318000
c1fe2103,0.000000
63f7ddd9,0.024255
97e123d2,0.362516
7d078228,0.164299
6b43e60f,0.996181
e07665a4,0.957036
4da0c147,0.001509
1d2474a1,0.278493
3ee672a2,0.999938
f39a3050,0.014019
aaeb3f89,0.855959
daa3d1e9,0.112555
23cad3ed,0.999585
dc8fd92d,0.977164
994a2787,0.000042
5009ce8c,0.968971
95ba90c7,0.000001
bb176f20,0.000037
57ccd603,0.021662
738b41fd,0.333659
c3767f5b,0.918231
076492b4,0.051361
68864007,0.188285
fb124dd7,0.986762
c59fbfc0,0.009905
ddce9f51,0.000705
c459dbf6,0.519312
1a39b44e,0.922567
a31f8519,0.000000
29ff4d55,0.000035
f7fb320d,0.397490
c0a87a44,0.290314
aa07ea34,0.000626
ed7b77f3,0.970690
ccb10918,0.522617
aba1f2cc,0.061415
0c4b7ce6,0.065912
26a29fae,0.004063
6a1a9b91,0.916140
fda0d9b3,0.086013
2f7da2f9,0.907334
b42fad18,0.101289
948317c5,0.125342
df315de0,0.256936
51762e5e,0.243334
9be1f9d4,0.283767
b20f16ca,0.197673
24f677ab,0.931103
19d36f67,0.000001
db098e36,0.203258
3ab323b5,0.072348
db204654,0.136407
4ab8b00a,0.363755
f0b7c362,0.323227
9c36083a,0.847962
00247e48,0.998519
99064331,0.310335
fb023b97,0.000001
834a13a2,0.125958
b4fb7c3b,0.633384
cccc91e5,0.128690
e777f5c4,0.000016
8a367850,0.005200
f7870f2b,0.637217
01aee49b,0.970054
09a3f3cb,0.065841
b7837a99,0.953708
0e5c18fe,0.029211
433d92a6,0.053288
d8c1c90e,0.001223
5cf350ea,0.322967
9e6adfeb,0.073794
398c373b,0.000176
8e1cb96b,0.577997
4978666a,0.700471
c0ab7de5,0.000347
b7519f43,0.268123
54d7929f,0.000001
